Ticker,Report Date,P/E Ratio (TTM),P/S Ratio (TTM),P/B Ratio,EV/EBITDA (TTM),ROE,Debt-to-Equity,Current Ratio
PPG,2025-08-14,20.244122,1.6155443,3.3347235,12.275,0.16559,106.173,1.421
PPL,2025-08-14,27.8797,3.1139245,1.9188576,13.817,0.069699995,124.976,0.587
PFG,2025-08-14,15.743951,1.1497047,1.5267757,10.128,0.10395,35.165,1.448
PG,2025-08-14,23.615976,4.27265,7.0274715,16.031,0.31242,69.861,0.704
PGR,2025-08-14,14.145998,1.7858254,4.512028,10.999,0.37293997,21.148,0.317
PLD,2025-08-14,28.530996,11.019154,1.8652639,21.684,0.06365,61.593,0.623
PRU,2025-08-14,23.528635,0.6349466,1.2292998,22.023,0.05796,149.725,0.883
PEG,2025-08-14,21.919193,3.8907979,2.5981023,15.941,0.12186,140.561,1.001
PTC,2025-08-14,48.943527,10.080244,7.0932646,30.657,0.1571,40.187,0.888
PSA,2025-08-14,30.59804,10.35768,9.812409,18.931,0.18917999,110.172,0.611
PHM,2025-08-14,9.622006,1.4333606,2.0199878,7.345,0.23048,18.024,6.409
PWR,2025-08-14,58.43808,2.1591144,7.1335983,26.75,0.13727,64.907,1.368
QCOM,2025-08-14,15.244937,3.9433875,6.2981553,12.525,0.44615,54.35,3.194
DGX,2025-08-14,21.395683,1.8963786,2.7649684,12.733,0.1426,86.904,1.086
RL,2025-08-14,23.212631,2.414276,6.9961696,15.885,0.32554,128.776,1.837
RJF,2025-08-14,16.128305,2.3841815,2.703719,,0.18191,36.906,6.53
RTX,2025-08-14,34.083515,2.4830534,3.3267548,17.707,0.10318,67.855,1.006
O,2025-08-14,56.135925,9.651926,1.3501774,16.521,0.02358,73.354,1.504
REG,2025-08-14,33.22897,8.390727,1.9952861,18.704,0.05969,73.57,0.788
REGN,2025-08-14,14.25617,4.220108,1.968249,11.969,0.15336001,9.035,4.598
RSG,2025-08-14,34.445927,4.435619,6.0201435,16.679,0.18414,109.658,0.662
RMD,2025-08-14,29.93901,8.100395,6.9839087,22.496,0.25863,14.273,3.44
RVTY,2025-08-14,38.891304,3.7101488,1.3771284,15.495,0.03613,44.664,3.329
ROK,2025-08-14,40.78756,4.846914,11.282793,26.416,0.26847,106.808,1.06
ROL,2025-08-14,56.851482,7.7939396,19.274923,36.149,0.36518002,66.985,0.683
ROP,2025-08-14,36.787666,7.564581,2.8773131,21.988,0.081520006,45.121,0.464
ROST,2025-08-14,23.282782,2.2677574,8.653124,16.495,0.39566,89.95,1.55
RCL,2025-08-14,23.21933,4.9365354,9.251688,16.857,0.46622002,210.865,0.232
SPGI,2025-08-14,43.396156,11.716666,5.158273,25.688,0.11291,31.651,0.982
CRM,2025-08-14,36.46406,5.781185,3.6852162,19.741,0.10312,19.813,1.069
SLB,2025-08-14,11.376713,1.3967327,2.2109818,7.104,0.19224001,63.579,1.315
SRE,2025-08-14,19.825665,4.006029,1.7334969,18.289,0.08641,101.705,0.484
NOW,2025-08-14,107.16121,14.644573,16.15148,76.473,0.16951,22.036,1.092
SHW,2025-08-14,36.302883,3.9492662,20.633856,24.349,0.62431,308.571,0.784
SPG,2025-08-14,26.613602,10.763476,23.31934,18.273,0.73077005,838.545,0.375
SWKS,2025-08-14,30.023905,2.788228,1.978472,12.483,0.06609,21.368,2.387
SW,2025-08-14,168.15385,0.7410019,1.2439538,2.762,0.02901,78.384,1.446
SNA,2025-08-14,17.309168,3.3403337,2.9635038,12.767,0.18558,22.659,4.482
SOLV,2025-08-14,33.57798,1.5131141,3.4820664,14.759,0.11670999,214.403,1.224
SO,2025-08-14,24.338503,3.6531298,3.0462484,13.257,0.11229,189.663,0.741
LUV,2025-08-14,47.968754,0.5868984,2.0153615,10.761,0.04246,66.763,0.559
SWK,2025-08-14,23.550632,0.7597892,1.2707465,12.806,0.053790003,78.818,1.043
STLD,2025-08-14,18.502178,1.0943326,2.125446,12.354,0.11686,42.752,3.128
STE,2025-08-14,37.578625,4.3514585,3.4849708,17.369,0.097399995,29.682,2.221
SYK,2025-08-14,50.20159,6.0756927,6.828916,24.975,0.1425,80.827,1.784
SMCI,2025-08-14,27.077383,1.2356272,4.313893,20.931,0.17899999,80.677,5.317
SNPS,2025-08-14,71.17321,18.332731,9.643886,62.814,0.15551,108.337,7.015
SYY,2025-08-14,21.769436,0.47649843,21.189978,11.765,0.97545,780.506,1.207
TMUS,2025-08-14,23.63645,3.3515427,4.6183505,12.184,0.19743,194.218,1.211
TROW,2025-08-14,12.212766,3.3762302,2.270948,8.329,0.18716,4.416,4.257
TPR,2025-08-14,25.18158,2.88923,13.305061,17.267,0.40273,274.983,1.758
TRGP,2025-08-14,23.746054,2.0854297,13.782163,11.743,0.50391,621.469,0.695
TGT,2025-08-14,11.456043,0.4473669,3.1690784,7.192,0.29076,130.213,0.935
TEL,2025-08-14,42.498974,3.6883123,4.94552,16.662,0.11512,48.355,1.525
TDY,2025-08-14,29.857851,4.2998977,2.4484816,19.655,0.08732,25.208,1.662
TER,2025-08-14,38.826385,6.2905936,6.27462,26.624,0.16851999,2.624,2.345
TSLA,2025-08-14,197.4,11.673819,13.993577,94.462,0.08177,16.823,2.037
TXN,2025-08-14,35.413166,10.561255,10.73483,24.559,0.29990998,85.612,5.812
TPL,2025-08-14,45.55916,28.237745,16.27461,32.26,0.37008,0.05,14.792
TXT,2025-08-14,18.09009,1.0178797,1.9251235,11.427,0.114250004,54.985,1.837
TMO,2025-08-14,28.020798,4.2385664,3.6260066,19.596,0.13418001,69.618,1.933
TJX,2025-08-14,31.282352,2.6024997,17.447506,21.366,0.60356,153.616,1.163
TKO,2025-08-14,77.95918,5.2894278,3.6621609,25.892,0.066700004,29.527,1.296
TTD,2025-08-14,61.156624,9.263878,9.22406,45.504,0.16357,12.744,1.714
TSCO,2025-08-14,29.40394,2.0881886,12.7027025,19.009,0.45345002,223.159,1.283
TT,2025-08-14,33.74252,4.5953684,12.181761,24.704,0.39078,58.751,1.104
TRV,2025-08-14,11.874004,1.2640315,2.0482259,8.357,0.19294001,27.217,0.321
TRMB,2025-08-14,71.512825,5.5686936,3.5008368,29.041,0.05065,26.589,0.936
TYL,2025-08-14,82.36207,11.042811,6.821443,55.617,0.090679996,17.655,1.031
