ticker,sector,undervaluation_score,V_abs,V_rel,quality_bonus_pts,risk_penalty_pts,redflag_pts,sector_relief_pts,pe_ttm,ev_ebitda,pb,ps,fcf_yield,roe_calc,ebitda_margin,net_debt_ebitda,interest_coverage,mkt_cap,ev,price_now,shares_diluted_latest,revenue_ttm,net_income_ttm,ebitda_ttm,equity_latest,debt_total_latest,cash_and_equivalents,current_ratio
FANG,ENERGY & TRANSPORTATION,3.5,2.7639058855231218,3.170044430911968,0.3551142293562662,0.9789473684210527,0.5,0.0,6.175357231149567,6.37557063197026,1.0279291170494587,1.7523967203051696,,0.1664566240580232,0.37742798263690974,1.732574349442379,,39966912000.0,54880912000.0,137.4,290880000.0,22807000000.0,6472000000.0,8608000000.0,38881000000.0,15133000000.0,219000000.0,0.5496142591114658
ED,ENERGY & TRANSPORTATION,3.6,3.1269925666619653,3.650263511574146,0.41107774275695086,1.3156691729323309,0.0,0.0,9.959422594142259,6.565035421740093,1.5029689341640007,1.2393103089205137,,0.1509092439804681,0.31357167650121487,2.6127961036085896,2.4444971537001896,35704530000.0,59308530000.0,100.35,355800000.0,28810000000.0,3585000000.0,9034000000.0,23756000000.0,25110000000.0,1506000000.0,1.0972071091766413
ATO,ENERGY & TRANSPORTATION,3.7,3.8450937249637764,4.738579573222763,0.3081069445604074,0.7027082706766916,0.0,0.0,9.721095147755776,5.978598448766762,1.839740610935229,2.492292296407306,,0.18925240242710242,0.46460629900540956,0.6142882753089386,20.336270190895743,24626469780.000004,27446543780.000004,154.11,159798000.0,9881052000.0,2533302000.0,4590799000.0,13385838000.0,3529452000.0,709378000.0,1.3728798266177187
FCX,ENERGY & TRANSPORTATION,3.8,3.984043586312243,4.9089098426785,0.22445520581113804,0.518796992481203,0.0,0.0,,5.145397601405546,3.437906414762742,1.3760997164149575,,,0.28778385983424565,0.36368497440989994,,62597400000.0,67358400000.0,43.35,1444000000.0,45489000000.0,,13091000000.0,18208000000.0,9251000000.0,4490000000.0,2.4653769661905622
SLB,ENERGY & TRANSPORTATION,3.8,3.3835820609804017,4.276772310484996,0.5013985138181514,1.3288105263157894,0.0,0.0,6.641013165426445,12.976755777072947,2.2858536104817255,0.7598303752701551,0.10959459051789155,0.34420254162151515,0.07227061366166743,2.463072043497961,1.7194994786235662,46407399999.99999,57279399999.99999,33.8,1373000000.0,61076000000.0,6988000000.0,4414000000.0,20302000000.0,14044000000.0,3172000000.0,1.3147844674029212
BKNG,ENERGY & TRANSPORTATION,4.2,4.523442211075151,5.277338707644211,0.16779661016949152,0.4898887218045113,0.0,0.0,,14.22723424637252,-28.5722517951029,4.595667348023582,0.11389261748516119,,0.3263747946264618,0.14628368374296713,56.84931506849315,190205480200.0,192181480200.0,5789.24,32855000.0,41388000000.0,,13508000000.0,-6657000000.0,19571000000.0,17595000000.0,1.2482828933247478
EIX,ENERGY & TRANSPORTATION,4.2,3.2675817119507906,3.233323242157198,0.2696613822326125,1.3430616541353384,0.5,0.0,4.996889111891621,4.694953703703704,1.1936713412441569,0.6568479372093791,-0.14524842350483994,0.23888289584082464,0.42739834449098046,3.158101851851852,2.424741011578306,19917600000.0,60846600000.0,51.6,386000000.0,30323000000.0,3986000000.0,12960000000.0,16686000000.0,41069000000.0,140000000.0,0.8725674827369743
CHRW,ENERGY & TRANSPORTATION,4.3,4.6477215924619815,5.68040199211841,0.5080323223678718,0.7928571428571429,0.0,0.0,16.392196221977134,9.193441571115919,6.530175292691552,0.38962156382417334,0.06567253385299231,0.3983709811828936,0.04830937484389036,1.12830793849868,,11652359900.0,13282518900.0,95.95,121442000.0,29906866000.0,710848000.0,1444782000.0,1784387000.0,1786152000.0,155993000.0,1.3126852536262343
OKE,ENERGY & TRANSPORTATION,4.4,3.847660871094237,4.876935023427561,0.49041574476079147,1.0069962406015036,0.5,0.0,11.57902789846787,9.70767958271237,2.3195185066422352,1.087570106104214,0.08253170049725794,0.20032065964269355,0.18735770436874435,3.9029003783102145,29.076666666666668,50635089000.0,84680089000.0,81.63,620300000.0,46558000000.0,4373000000.0,8723000000.0,21830000000.0,34142000000.0,97000000.0,0.5862172735479988
SRE,ENERGY & TRANSPORTATION,4.4,4.462556818553749,5.294691950848668,0.5166363133505886,0.5492481203007519,0.5,0.0,9.965189228755538,11.738487539231294,1.5612559456730921,2.3004429950725176,,0.15667097832602456,0.20439754555596876,0.4837389128951558,,49487129710.0,51614129710.0,75.77,653123000.0,21512000000.0,4966000000.0,4397000000.0,31697000000.0,2282000000.0,155000000.0,0.48437318461717205
